week_end_date,effective_from_date,weekly_open,weekly_high,weekly_low,weekly_close,smma_5,atr_14,previous_10_week_low,previous_market_state,market_state,buy_allowed,force_exit_all,cancel_pending_buys,below_lower_count,lower_band,upper_band,transition,reason
2024-08-02,2024-08-05,24943.3,25078.3,24686.85,24717.7,24142.78675478516,566.5086015090359,21281.45,ON,ON,True,False,False,0,23859.532454030643,24227.763045011514,NONE,NO_CHANGE
2024-08-09,2024-08-12,24302.85,24419.75,23893.7,24367.5,24187.72940382813,584.9008442583905,21281.45,ON,ON,True,False,False,0,23895.278981698935,24275.46453046689,NONE,NO_CHANGE
2024-08-16,2024-08-19,24320.05,24563.9,24099.7,24541.15,24258.413523062503,576.2793553827912,21281.45,ON,ON,True,False,False,0,23970.273845371106,24344.855426369922,NONE,NO_CHANGE
2024-08-23,2024-08-26,24636.35,24867.35,24522.95,24823.15,24371.36081845,559.7165442840203,23206.65,ON,ON,True,False,False,0,24091.50254630799,24455.318300092604,NONE,NO_CHANGE
2024-08-30,2024-09-02,24906.1,25268.35,24874.7,25235.9,24544.268654760002,551.5367911208758,23350.0,ON,ON,True,False,False,0,24268.500259199565,24626.999173428132,NONE,NO_CHANGE
2024-09-06,2024-09-09,25333.6,25333.65,24801.3,24852.15,24605.844923808,550.1663060408134,23350.0,ON,ON,True,False,False,0,24330.761770787594,24688.369869714123,NONE,NO_CHANGE
2024-09-13,2024-09-16,24823.4,25433.35,24753.15,25356.5,24755.9759390464,559.454427037898,23893.7,ON,ON,True,False,False,0,24476.24872552745,24839.894103102084,NONE,NO_CHANGE
2024-09-20,2024-09-23,25406.65,25849.25,25285.55,25790.95,24962.970751237117,559.7576822494767,23893.7,ON,ON,True,False,False,0,24683.09191011238,25046.934403574538,NONE,NO_CHANGE
2024-09-27,2024-09-30,25872.55,26277.35,25847.35,26178.95,25206.166600989694,554.5178478030854,23893.7,ON,ON,True,False,False,0,24928.90767708815,25289.34427816016,NONE,NO_CHANGE
2024-10-04,2024-10-07,26061.3,26134.7,24966.8,25014.6,25167.853280791758,601.4915729600079,23893.7,ON,ON,True,False,False,0,24867.107494311753,25258.07701673576,NONE,NO_CHANGE
2024-10-11,2024-10-14,25084.1,25234.05,24694.35,24964.25,25127.132624633407,597.0778891771503,23893.7,ON,ON,True,False,False,0,24828.593680044833,25216.694308009977,NONE,NO_CHANGE
2024-10-18,2024-10-21,25023.45,25212.05,24567.65,24854.05,25072.516099706725,600.4580399502108,23893.7,ON,ON,True,False,False,0,24772.28707973162,25162.584805699258,NONE,NO_CHANGE
2024-10-25,2024-10-28,24956.15,24978.3,24073.9,24180.8,24894.17287976538,622.1681799537671,24099.7,ON,OFF,False,False,True,1,24583.088789788497,24987.498106758445,ON_TO_OFF,LOWER_BAND_BREAK
2024-11-01,2024-11-04,24251.1,24498.2,24134.9,24304.35,24776.208303812302,603.6775956713552,24073.9,OFF,OFF,False,True,False,2,24474.369505976625,24866.759943163004,NONE,CONFIRMED_LOWER_BAND_BREAK
2024-11-08,2024-11-11,24315.75,24537.6,23816.15,24148.2,24650.60664304984,612.0899102662582,24073.9,OFF,OFF,False,True,False,3,24344.56168791671,24742.420129589776,NONE,CONFIRMED_LOWER_BAND_BREAK
2024-11-14,2024-11-18,24087.25,24336.8,23484.15,23532.7,24427.02531443987,629.2727738186683,23816.15,OFF,OFF,False,True,True,4,24112.388927530537,24521.41623051267,NONE,EMERGENCY_10_WEEK_LOW_BREAK
2024-11-22,2024-11-25,23605.3,23956.1,23263.15,23907.25,24323.070251551897,633.8211471173346,23484.15,OFF,OFF,False,True,False,5,24006.15967799323,24418.1434236195,NONE,CONFIRMED_LOWER_BAND_BREAK
