date,market_state,realized_gross,realized_costs,realized_net,unrealized,total_pnl_gross,total_pnl_net,active
2021-09-01,NORMAL,573445.7695697211,213425.06435866666,472547.5541230543,39547.42492751412,612993.1944972352,512094.9790505684,7
2021-09-02,NORMAL,604215.8851617186,214235.817388,502638.4351497185,54111.276040688,658327.1612024066,556749.7111904065,7
2021-09-03,NORMAL,615136.9572598322,214881.43762533332,513043.1571731654,76990.0709435909,692127.0282034231,590033.2281167563,6
2021-09-06,NORMAL,625689.2421931655,215164.35077199998,523453.0406291652,57287.96123372653,682977.2034268919,580741.0018628917,6
2021-09-07,NORMAL,625689.2421931655,215316.10394799997,523453.0406291652,55413.74992737378,681102.9921205393,578866.790556539,6
2021-09-08,NORMAL,637391.5466104967,215590.665396,534880.7835984963,67804.17503884615,705195.7216493429,602684.9586373426,6
2021-09-09,NORMAL,637391.5466104967,215590.665396,534880.7835984963,71631.07959103043,709022.6262015272,606511.8631895268,6
2021-09-13,NORMAL,646886.921804788,215859.08193999997,544107.742248788,89024.4024084587,735911.3242132468,633132.1446572468,6
2021-09-14,NORMAL,653561.5714826967,216121.35358,550520.1202866966,93373.7848528786,746935.3563355752,643893.9051395752,6
2021-09-15,NORMAL,663573.0487941633,216419.80483599997,560387.1478194965,91241.63980307977,754814.688597243,651628.7876225762,6
2021-09-16,NORMAL,686304.3978972654,217912.63319866665,582459.7453705985,28216.694656913227,714521.0925541786,610676.4400275117,6
2021-09-17,NORMAL,728400.5337023507,219154.99745466665,623610.278367684,11968.622216025047,740369.1559183757,635578.900583709,6
2021-09-20,NORMAL,734075.045766558,219420.52419066665,629148.5338585579,-42269.49584589715,691805.5499206609,586879.0380126608,6
2021-09-21,NORMAL,748559.457161556,220386.2439853333,643218.0306295559,-65788.68763334761,682770.7695282084,577429.3429962083,6
2021-09-22,NORMAL,755040.5070370941,220949.97367599997,649438.8571664274,-53233.231423306046,701807.275613788,596205.6257431214,6
2021-09-23,NORMAL,773870.1888357964,221362.83999866666,667855.6726424629,-62695.616945222544,711174.571890574,605160.0556972404,6
2021-09-24,NORMAL,775304.9692536811,221905.486676,669044.5678310143,-65823.83414044598,709481.1351132351,603220.7336905682,6
2021-09-27,NORMAL,791253.6269007903,222833.41326533334,684212.5554621234,-21340.768686624942,769912.8582141653,662871.7867754984,6
2021-09-28,NORMAL,801974.5177094791,224256.82803866666,694658.8848228125,-17784.313877812296,784190.2038316668,676874.5709450003,7
2021-09-29,NORMAL,804756.8721268413,224531.14797999998,697302.9343655078,-2181.1618545087695,802575.7102723325,695121.772510999,7
2021-09-30,NORMAL,805973.8570601746,225098.73276666665,698391.8559308412,-37620.626282995276,768353.2307771794,660771.229647846,7
2021-10-01,NORMAL,812874.9505387469,226059.46615066665,705034.7743720802,-49221.88790701586,763653.062631731,655812.8864650644,6
2021-10-04,NORMAL,816481.4480636733,226466.1875693333,708234.55047834,-33591.086594239634,782890.3614694336,674643.4638841003,6
2021-10-05,NORMAL,817883.6113257686,226748.25241466664,709508.6503724352,-23421.23376500199,794462.3775607666,686087.4166074332,6
2021-10-06,NORMAL,817883.6113257686,227602.56393733333,709508.6503724352,-57162.74395074963,760720.867375019,652345.9064216856,6
2021-10-07,NORMAL,824640.0451310739,228125.05891599998,715742.589199074,-25102.76744307758,799537.2776879964,690639.8217559964,6
2021-10-08,NORMAL,824640.0451310739,228276.81209199998,715742.589199074,-38308.77471269865,786331.2704183753,677433.8144863753,6
2021-10-11,NORMAL,831608.4374499387,228685.581812,722302.2117979386,2601.9002315787366,834210.3376815175,724904.1120295173,6
2021-10-12,NORMAL,834019.3971312892,228823.88668666664,724574.8666046226,1992.7201378958707,836012.1172691851,726567.5867425185,6
2021-10-13,NORMAL,850420.0546084825,229911.80795866664,740164.1295458156,9899.228791415342,860319.2833998979,750063.358337231,6
2021-10-14,NORMAL,876302.0816108672,230588.99422266663,765368.9702842004,3215.502842500864,879517.5844533681,768584.4731267013,5
2021-10-18,NORMAL,888883.4000727694,230985.47413466664,777553.8088341026,11030.229382253252,899913.6294550226,788584.0382163558,4
2021-10-19,NORMAL,893949.8952017915,233401.86527599997,782488.1439924579,-22723.149378442584,871226.745823349,759764.9946140153,6
2021-10-20,NORMAL,893954.6057382764,233795.4138733333,782366.8394622762,-65886.36513967777,828068.2405985986,716480.4743225984,6
2021-10-21,NORMAL,909677.8187808674,234506.33824666665,797644.4133608673,-59649.91910484788,850027.8996760196,737994.4942560194,5
2021-10-22,NORMAL,909677.8187808674,234776.12007866666,797644.4133608673,-91402.26637288393,818275.5524079835,706242.1469879834,5
2021-10-25,NORMAL,909677.8187808674,235179.66867599997,797644.4133608673,-150624.13732481824,759053.6814560492,647020.276036049,5
2021-10-26,NORMAL,905049.0949542683,235431.69880933332,792763.6594009349,-105461.61404626834,799587.4809079999,687302.0453546667,5
2021-10-27,NORMAL,902792.2249279837,235937.80737733332,790000.6808066502,-76552.06844303221,826240.1564849515,713448.612363618,5
2021-10-28,NORMAL,904240.2689539557,236197.3892093333,791320.6614646224,-99404.92431146489,804835.3446424908,691915.7371531575,5
2021-10-29,NORMAL,908660.4010217013,239817.8895106667,794974.4616257014,-66023.01195009123,842637.38907161,728951.4496756102,7
2021-11-01,NORMAL,917514.1712545065,241520.66499333334,802669.5166425064,-26909.166980357433,890605.004274149,775760.3496621489,7
2021-11-02,NORMAL,927014.2445332909,241929.79320666668,811903.2216786243,-60271.19143341901,866743.0530998718,751632.0302452053,7
2021-11-03,NORMAL,930127.8356582907,242568.31684133335,814762.7343689575,-39952.30959520873,890175.5260630819,774810.4247737487,8
2021-11-04,NORMAL,930127.8356582907,242568.31684133335,814762.7343689575,-25224.890634916403,904902.9450233743,789537.8437340411,8
2021-11-08,NORMAL,941515.2814000343,243492.75362266667,825495.5251613675,19835.338122137677,961350.619522172,845330.8632835052,8
2021-11-09,NORMAL,943636.1292329509,243908.58523333335,827488.3096262842,5118.177812852024,948754.3070458029,832606.4874391363,8
2021-11-10,NORMAL,947407.355877423,244706.52393466668,831003.4095347562,8893.037793446827,956300.3936708698,839896.447328203,8
2021-11-11,NORMAL,952195.9121862183,245238.9774066667,835533.7908062182,-13656.35924449924,938539.5529417191,821877.4315617189,8
2021-11-12,NORMAL,957414.2082306627,245373.1856786667,840617.8785786628,8797.818729586434,966212.0269602492,849415.6973082492,8
