date,market_state,realized,unrealized,total_pnl,active
2024-02-26,NORMAL,996300.8361626562,-72124.10462177815,924176.7315408781,7
2024-02-27,NORMAL,997751.5164347651,-76408.66782945857,921342.8486053065,7
2024-02-28,NORMAL,997751.5164347651,-115995.883554578,881755.6328801871,7
2024-02-29,NORMAL,997751.5164347651,-110562.66298878644,887188.8534459786,7
2024-03-01,NORMAL,1006761.603375672,-91036.24059210368,915725.3627835683,7
2024-03-02,NORMAL,1006761.603375672,-79764.93963375578,926996.6637419162,7
2024-03-04,NORMAL,1013629.4362230968,-90153.77886240894,923475.6573606879,7
2024-03-05,NORMAL,1013629.4362230968,-122210.32063657523,891419.1155865216,8
2024-03-06,NORMAL,1013629.4362230968,-105653.14866733138,907976.2875557654,8
2024-03-07,NORMAL,1015759.3047787531,-61663.474846830184,954095.829931923,9
2024-03-11,NORMAL,1023798.747669612,-55372.17762803617,968426.5700415759,9
2024-03-12,NORMAL,1025117.3871253943,-63350.35386447447,961767.0332609199,9
2024-03-13,NORMAL,1025117.3871253943,-107264.2379339982,917853.1491913961,9
2024-03-14,NORMAL,1030696.2554981404,-84822.99085604385,945873.2646420965,9
2024-03-15,NORMAL,1033474.0858421365,-98471.12350821026,935002.9623339262,9
2024-03-18,NORMAL,1033878.7802484771,-96451.08420728185,937427.6960411953,9
2024-03-19,NORMAL,1033678.2827485634,-123523.45028323316,910154.8324653303,9
2024-03-20,NORMAL,1035648.8949934614,-105668.95747733739,929979.937516124,9
2024-03-21,NORMAL,1042412.9485513926,-86118.07247035834,956294.8760810343,9
2024-03-22,NORMAL,1048798.5877801066,-89936.55526558336,958862.0325145232,9
2024-03-26,NORMAL,1053971.656849678,-108935.33580738341,945036.3210422945,9
2024-03-27,NORMAL,1053971.656849678,-114810.34379872249,939161.3130509554,9
2024-03-28,NORMAL,1069623.3059224207,-68183.93700059604,1001439.3689218246,9
2024-04-01,NORMAL,1073725.4380546245,-41001.98314311085,1032723.4549115136,8
2024-04-02,NORMAL,1076975.4380546245,-30947.195203527124,1046028.2428510974,8
2024-04-03,NORMAL,1084672.8757804877,-36811.99677519116,1047860.8790052965,8
2024-04-04,NORMAL,1086942.303848011,-8956.256888021002,1077986.04695999,8
2024-04-05,NORMAL,1090761.856098089,-14202.04354501245,1076559.8125530765,9
2024-04-08,NORMAL,1100981.221219524,-13784.39908841753,1087196.8221311066,8
2024-04-09,NORMAL,1110003.8400930765,-16492.438318476285,1093511.4017746001,8
2024-04-10,NORMAL,1111073.798940813,-5736.472256245033,1105337.3266845678,8
2024-04-12,NORMAL,1114260.2313265894,-33105.3563568175,1081154.8749697718,8
2024-04-15,NORMAL,1115056.5276228858,-69695.70607125852,1045360.8215516272,8
2024-04-16,NORMAL,1115056.5276228858,-121228.37781532094,993828.1498075648,8
2024-04-18,NORMAL,1115004.4209389423,-151731.9306871394,963272.490251803,8
2024-04-19,NORMAL,1112371.7711526426,-145519.12948315014,966852.6416694925,8
2024-04-22,NORMAL,1112552.556190102,-96245.69984624477,1016306.8563438571,8
2024-04-23,NORMAL,1114310.9542068152,-81637.02558194153,1032673.9286248737,8
2024-04-24,NORMAL,1119267.7226665383,-90468.62568686926,1028799.0969796691,8
2024-04-25,NORMAL,1126849.1760958042,-73032.18432005038,1053816.991775754,8
2024-04-26,NORMAL,1151742.840536982,-104850.25258463205,1046892.58795235,7
2024-04-29,NORMAL,1161256.9589077744,-107209.18836829995,1054047.7705394744,8
2024-04-30,NORMAL,1164325.641769368,-100855.37288444515,1063470.2688849228,8
2024-05-02,NORMAL,1164325.641769368,-83189.52602442153,1081136.1157449465,8
2024-05-03,NORMAL,1173531.6903541477,-111874.13953595428,1061657.5508181935,8
2024-05-06,NORMAL,1173531.6903541477,-121017.75567637313,1052513.9346777746,8
2024-05-07,NORMAL,1174037.2459097032,-117739.71472354681,1056297.5311861564,9
2024-05-08,NORMAL,1174037.2459097032,-148753.81323929358,1025283.4326704096,9
2024-05-09,NORMAL,1174037.2459097032,-227819.9812193349,946217.2646903683,9
2024-05-10,NORMAL,1174037.2459097032,-201174.367144073,972862.8787656302,9
2024-05-13,NORMAL,1172613.945100274,-128510.62454603359,1044103.3205542404,9
2024-05-14,NORMAL,1181613.945100274,-139778.47478129662,1041835.4703189773,8
2024-05-15,NORMAL,1184280.6117669407,-165363.48777491058,1018917.12399203,9
2024-05-16,NORMAL,1184050.4192302278,-116037.70341708847,1068012.7158131395,9
2024-05-17,NORMAL,1185550.4192302278,-124444.18736377587,1061106.231866452,9
2024-05-18,NORMAL,1186221.5303413388,-114335.31269986508,1071886.2176414737,9
2024-05-21,NORMAL,1198228.873641434,-116331.51292292832,1081897.3607185055,8
2024-05-22,NORMAL,1202399.211958148,-95798.43361336313,1106600.7783447849,9
2024-05-23,NORMAL,1223399.2119581483,-67573.23127949993,1155825.9806786485,9
2024-05-24,NORMAL,1240794.0933251516,-91279.53081880153,1149514.56250635,7
2024-05-27,NORMAL,1242229.990761049,-82774.08684396654,1159455.9039170826,7
2024-05-28,NORMAL,1241772.6804687176,-73953.92982240662,1167818.7506463109,8
2024-05-29,NORMAL,1243085.1804687176,-107716.22062357847,1135368.9598451392,8
2024-05-30,NORMAL,1243085.1804687176,-200272.64660469792,1042812.5338640197,8
2024-05-31,NORMAL,1251307.5362379483,-199645.77225383787,1051661.7639841104,8
2024-06-03,NORMAL,1255109.9746230824,-150671.9761492121,1104437.9984738703,7
2024-06-04,NORMAL,1254409.7613294318,-258321.84122616868,996087.9201032631,8
2024-06-05,NORMAL,1258247.3648724053,-57984.87937520808,1200262.4854971971,8
2024-06-06,NORMAL,1266051.4419814001,-27969.97777341405,1238081.4642079861,8
2024-06-07,NORMAL,1272309.9545374936,48297.320859711734,1320607.2753972053,8
2024-06-10,NORMAL,1286562.4037470843,50355.43300833646,1336917.8367554208,8
2024-06-11,NORMAL,1295303.5106720102,40523.93336242286,1335827.444034433,8
2024-06-12,NORMAL,1295303.5106720102,40129.602496790525,1335433.1131688007,8
2024-06-13,NORMAL,1303715.442855624,72037.01356274352,1375752.4564183676,8
2024-06-14,NORMAL,1303715.442855624,73170.61573897218,1376886.058594596,8
2024-06-18,NORMAL,1316663.504185526,79502.75792892298,1396166.262114449,8
2024-06-19,NORMAL,1328071.2777771186,58967.46934633714,1387038.7471234556,8
2024-06-20,NORMAL,1348569.305390531,55082.990918366704,1403652.2963088977,8
2024-06-21,NORMAL,1351294.067807601,32378.194388765492,1383672.2621963667,8
2024-06-24,NORMAL,1366117.3281009938,35856.38844301633,1401973.7165440102,8
2024-06-25,NORMAL,1368413.562384257,42992.238578020304,1411405.8009622775,8
2024-06-26,NORMAL,1368413.562384257,35219.40748254093,1403632.969866798,8
2024-06-27,NORMAL,1372471.6581346605,55810.49035694561,1428282.148491606,8
2024-06-28,NORMAL,1375328.7921400182,61077.90117796272,1436406.693317981,8
2024-07-01,NORMAL,1384349.7888403516,67662.41482473977,1452012.2036650914,8
2024-07-02,NORMAL,1396514.3934664947,46866.99843092536,1443381.3918974202,8
2024-07-03,NORMAL,1396514.3934664947,74494.73316635552,1471009.1266328502,8
2024-07-04,NORMAL,1412672.5492035851,65470.28246040683,1478142.831663992,8
2024-07-05,NORMAL,1416065.6742035851,70443.79551039456,1486509.4697139796,8
2024-07-08,NORMAL,1428296.8992015426,49535.34770054725,1477832.2469020898,9
2024-07-09,NORMAL,1434210.4277709287,53201.556027175655,1487411.9837981043,9
2024-07-10,NORMAL,1445335.4667569816,62809.923893654195,1508145.3906506358,9
2024-07-11,NORMAL,1443437.4905364537,66807.85526475593,1510245.3458012096,9
2024-07-12,NORMAL,1466360.2472669028,65217.32883225524,1531577.576099158,9
2024-07-15,NORMAL,1466360.2472669028,64481.69072095779,1530841.9379878605,9
2024-07-16,NORMAL,1475773.7758362892,63890.25378687054,1539664.0296231597,9
2024-07-18,NORMAL,1496921.9946415743,57609.917302024245,1554531.9119435987,9
2024-07-19,NORMAL,1541096.281892785,-21715.82760989855,1519380.4542828866,9
2024-07-22,NORMAL,1542625.4732142838,-19348.27173901035,1523277.2014752734,9
2024-07-23,NORMAL,1552345.6033716525,-52415.10589152695,1499930.4974801256,8
2024-07-24,NORMAL,1555751.63701169,-79545.61596445297,1476206.021047237,7
2024-07-25,NORMAL,1554918.3036783568,-86721.56630436226,1468196.7373739947,7
2024-07-26,NORMAL,1564004.733431102,-24410.61960156924,1539594.1138295329,7
2024-07-29,NORMAL,1580794.9060474343,-4703.668145788775,1576091.2379016455,6
2024-07-30,NORMAL,1584934.686352756,31761.38900072704,1616696.0753534832,6
2024-07-31,NORMAL,1587396.3835167133,66323.90793078393,1653720.2914474972,6
2024-08-01,NORMAL,1591507.4946278243,56401.882320759876,1647909.376948584,6
2024-08-02,NORMAL,1591610.6565325863,18739.014301846444,1610349.6708344328,6
2024-08-05,NORMAL,1591573.8524805247,-44129.98707838502,1547443.8654021397,7
2024-08-06,NORMAL,1594687.4493872558,-23230.71672437119,1571456.7326628845,7
2024-08-07,NORMAL,1598989.686603314,17790.343925921086,1616780.030529235,7
2024-08-08,NORMAL,1602751.5913652186,-35907.165853890605,1566844.425511328,8
2024-08-09,NORMAL,1606196.6857241336,-2276.1695052665164,1603920.5162188672,7
2024-08-12,NORMAL,1610267.6304231847,-912.2130471455457,1609355.417376039,8
2024-08-13,NORMAL,1613560.1474299873,-31576.55670567586,1581983.5907243115,8
2024-08-14,NORMAL,1616226.814096654,-62525.91907446817,1553700.895022186,8
2024-08-16,NORMAL,1621046.8557681798,-4637.8527515488095,1616409.003016631,7
2024-08-19,NORMAL,1622658.8552624448,7205.798398226907,1629864.6536606718,8
2024-08-20,NORMAL,1626227.6238277096,38559.597040041466,1664787.2208677512,8
2024-08-21,NORMAL,1633576.5384962074,72307.41825948731,1705883.9567556947,8
2024-08-22,NORMAL,1646840.3259116628,80458.93075565615,1727299.256667319,8
2024-08-23,NORMAL,1650506.9925783293,64453.08180551557,1714960.0743838449,8
2024-08-26,NORMAL,1657344.4686265872,85140.5463984707,1742485.0150250578,8
2024-08-27,NORMAL,1671219.1162597635,89521.72944667056,1760740.845706434,8
2024-08-28,NORMAL,1672552.4495930967,72752.22125313926,1745304.670846236,8
2024-08-29,NORMAL,1684943.976732872,75431.45698450392,1760375.4337173759,8
2024-08-30,NORMAL,1703002.3826995173,84514.51700366876,1787516.899703186,8
2024-09-02,NORMAL,1722457.17097879,78400.63549439012,1800857.80647318,8
2024-09-03,NORMAL,1736547.1108169782,71206.05770014541,1807753.1685171234,8
2024-09-04,NORMAL,1752731.0176820762,67448.50385929423,1820179.5215413705,8
2024-09-05,NORMAL,1765683.504714559,58017.409495854765,1823700.9142104138,8
2024-09-06,NORMAL,1769504.875263001,43517.3481491931,1813022.2234121943,8
2024-09-09,NORMAL,1773471.8046669925,34396.94017453592,1807868.7448415284,8
2024-09-10,NORMAL,1778428.1975984846,53267.762393667625,1831695.9599921522,9
2024-09-11,NORMAL,1785178.1319564506,28349.212497897242,1813527.3444543479,9
2024-09-12,NORMAL,1790343.0817458902,74639.43368276188,1864982.515428652,9
2024-09-13,NORMAL,1801696.230540636,58096.383373805875,1859792.6139144418,8
2024-09-16,NORMAL,1801696.230540636,69290.07535968901,1870986.305900325,8
2024-09-17,NORMAL,1805060.7777903932,59324.85686880018,1864385.6346591935,8
2024-09-18,NORMAL,1805060.7777903932,53909.26077671116,1858970.0385671044,8
2024-09-19,NORMAL,1814509.1790602345,33859.96609466821,1848369.1451549027,8
2024-09-20,NORMAL,1819459.6149383015,67306.76881551609,1886766.3837538175,8
2024-09-23,NORMAL,1832502.3421568912,68018.72903184197,1900521.0711887332,7
2024-09-24,NORMAL,1834831.324222939,79006.71784611742,1913838.0420690565,7
2024-09-25,NORMAL,1836903.0254097828,77053.88613149032,1913956.9115412731,7
2024-09-26,NORMAL,1840023.3506511636,84056.81430793265,1924080.1649590963,7
2024-09-27,NORMAL,1851312.9227929437,88601.1724186701,1939914.0952116137,7
2024-09-30,NORMAL,1862318.962320039,77198.05252775527,1939517.0148477943,7
2024-10-01,NORMAL,1869399.0533998143,70133.01502526924,1939532.0684250835,7
2024-10-03,NORMAL,1869399.0533998143,2150.7215960647736,1871549.774995879,8
2024-10-04,NORMAL,1870168.6007249174,-26661.26554346463,1843507.3351814528,8
2024-10-07,NORMAL,1870168.6007249174,-74635.04904042132,1795533.551684496,8
2024-10-08,NORMAL,1871710.7497786728,-13147.040204929886,1858563.709573743,9
2024-10-09,NORMAL,1877962.776686503,-19492.168898057775,1858470.6077884454,9
2024-10-10,NORMAL,1882828.4613696588,-13298.504736447241,1869529.9566332116,9
2024-10-11,NORMAL,1882828.4613696588,-24117.194921487884,1858711.2664481709,9
2024-10-14,NORMAL,1888430.3326978493,-8060.523559946014,1880369.8091379032,9
2024-10-15,NORMAL,1887361.6335330992,-6853.676763832249,1880507.9567692669,9
2024-10-16,NORMAL,1887361.6335330992,-21341.694838137773,1866019.9386949614,9
2024-10-17,NORMAL,1887361.6335330992,-47391.73898386196,1839969.8945492373,9
2024-10-18,NORMAL,1888793.841003035,-49919.26526944466,1838874.5757335904,9
2024-10-21,NORMAL,1892224.1107789837,-69620.39570050949,1822603.7150784743,9
2024-10-22,NORMAL,1892224.1107789837,-172232.43856371078,1719991.672215273,9
2024-10-23,NORMAL,1886665.1217900822,-184131.0443334546,1702534.0774566275,9
2024-10-24,NORMAL,1886387.3440123044,-171795.33739315695,1714592.0066191475,9
2024-10-25,NORMAL,1886387.3440123044,-279955.53777733777,1606431.8062349667,9
2024-10-28,NORMAL,1872526.035024692,-210236.3019887867,1662289.7330359053,9
2024-10-29,NORMAL,1868295.8024010712,-162789.83885727148,1705505.9635437997,8
2024-10-30,NORMAL,1862273.1280949763,-103812.49056306444,1758460.637531912,8
2024-10-31,NORMAL,1864479.065015199,-77908.48886803875,1786570.57614716,9
2024-11-01,NORMAL,1864114.427650634,-60846.10013613128,1803268.3275145027,9
2024-11-04,CAUTION,1865447.7609839672,-124581.55334011372,1740866.2076438535,9
2024-11-05,NORMAL,1865271.7870302796,-124172.40901321196,1741099.3780170677,9
2024-11-06,NORMAL,1875412.57991784,-67992.8510932294,1807419.7288246106,9
2024-11-07,NORMAL,1889411.675790856,-111465.34103473547,1777946.3347561203,9
2024-11-08,CAUTION,1896244.7830924431,-161599.94752402214,1734644.835568421,8
2024-11-11,CAUTION,1898747.3471950071,-255684.5573121445,1643062.7898828627,8
2024-11-12,CAUTION,1893772.7261093874,-300726.9633074977,1593045.7628018898,8
2024-11-13,CAUTION,1893772.7261093874,-378114.4168335369,1515658.3092758504,8
2024-11-14,CAUTION,1888707.516377563,-373847.04831626266,1514860.4680613002,8
2024-11-18,CAUTION,1886842.1852345015,-338009.1771108071,1548833.0081236945,8
2024-11-19,CAUTION,1885277.8677750642,-321012.83381346526,1564265.033961599,8
