ts,broker,quote_asset,portfolio_value,portfolio_pnl,portfolio_pnl_pct,strategy_equity,strategy_realized,strategy_unrealized,strategy_total,drawdown_pct,exposure,exposure_pct
2026-03-23T06:42:01.458428+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:42:11.684425+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:42:21.891876+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:42:32.102600+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:42:42.311439+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:42:52.514065+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:43:02.706137+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:43:12.912346+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:43:23.113872+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:43:33.397448+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:43:43.605172+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:43:53.806109+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:44:04.004103+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:44:14.205535+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:44:24.421039+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:44:34.638900+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:44:44.841435+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:44:55.046255+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:45:05.275990+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:45:15.478399+00:00,fyers,INR,1561082.74925,64815.68925,0.04331826248316928129126895302,1953621.96,0,-113075.60,-113075.60,0.003288272030329973598593670373,1766436.50,0.9041854238780157856128930901
2026-03-23T06:45:25.696210+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
2026-03-23T06:45:35.919225+00:00,fyers,INR,1562019.14925,65752.08925,0.04394408659240282947884985184,1954858.36,0,-111839.20,-111839.20,0.002690404388451796580667548487,1767672.90,0.9042460242490407335700781923
