cycle_num,buy_time,buy_price,sell_time,sell_price,qty,gross_pnl,cost,net_pnl
76,2026-04-15 09:30:00,2551.95,2026-04-15 09:45:00,2558.55,125,825.0,840.05,-15.05
77,2026-04-16 03:45:00,2571.75,2026-04-16 03:45:00,2578.35,125,825.0,846.2,-21.2
78,2026-04-16 04:00:00,2578.35,2026-04-16 04:15:00,2584.95,125,825.0,848.24,-23.24
79,2026-04-16 04:15:00,2578.35,2026-04-17 03:45:00,2584.95,125,825.0,848.24,-23.24
80,2026-04-17 04:00:00,2565.15,2026-04-17 04:15:00,2571.75,125,825.0,844.15,-19.15
81,2026-04-17 05:00:00,2578.35,2026-04-20 03:45:00,2584.95,125,825.0,848.24,-23.24
82,2026-04-20 03:45:00,2565.15,2026-04-20 04:00:00,2571.75,125,825.0,844.15,-19.15
83,2026-04-20 04:45:00,2571.75,2026-04-20 05:00:00,2578.35,125,825.0,846.2,-21.2
84,2026-04-20 05:15:00,2571.75,2026-04-20 05:30:00,2578.35,125,825.0,846.2,-21.2
85,2026-04-20 05:45:00,2578.35,2026-04-20 05:45:00,2584.95,125,825.0,848.24,-23.24
86,2026-04-20 06:00:00,2584.95,2026-04-20 06:00:00,2591.55,125,825.0,850.29,-25.29
87,2026-04-20 07:00:00,2591.55,2026-04-21 06:15:00,2598.15,125,825.0,852.34,-27.34
88,2026-04-09 07:30:00,2598.15,2026-04-21 06:30:00,2604.75,125,825.0,854.39,-29.39
89,2026-04-21 07:30:00,2598.15,2026-04-21 07:45:00,2604.75,125,825.0,854.39,-29.39
90,2026-04-21 07:15:00,2598.15,2026-04-21 08:00:00,2604.75,125,825.0,854.39,-29.39
91,2026-04-21 09:15:00,2604.75,2026-04-21 09:30:00,2611.35,125,825.0,856.44,-31.44
92,2026-04-22 03:45:00,2565.15,2026-04-22 04:00:00,2571.75,125,825.0,844.15,-19.15
93,2026-04-22 03:45:00,2558.55,2026-04-22 04:00:00,2565.15,125,825.0,842.1,-17.1
94,2026-04-13 05:15:00,2485.95,2026-04-24 03:45:00,2492.55,125,825.0,819.56,5.44
95,2026-04-24 03:45:00,2472.75,2026-04-28 04:30:00,2479.35,125,825.0,815.46,9.54
96,2026-04-28 05:00:00,2472.75,2026-04-29 04:15:00,2479.35,125,825.0,815.46,9.54
97,2026-04-29 04:30:00,2466.15,2026-04-29 04:30:00,2472.75,125,825.0,813.41,11.59
98,2026-04-29 05:15:00,2472.75,2026-04-29 05:15:00,2479.35,125,825.0,815.46,9.54
99,2026-04-29 05:30:00,2479.35,2026-04-29 07:00:00,2485.95,125,825.0,817.51,7.49
100,2026-04-29 08:00:00,2472.75,2026-04-30 08:00:00,2479.35,125,825.0,815.46,9.54
101,2026-04-30 08:15:00,2479.35,2026-04-30 08:30:00,2485.95,125,825.0,817.51,7.49
102,2026-04-30 08:45:00,2472.75,2026-04-30 09:00:00,2479.35,125,825.0,815.46,9.54
103,2026-04-30 09:15:00,2479.35,2026-05-04 03:45:00,2485.95,125,825.0,817.51,7.49
104,2026-05-04 03:45:00,2452.95,2026-05-04 04:00:00,2459.55,125,825.0,809.32,15.68
105,2026-05-04 04:15:00,2459.55,2026-05-06 03:45:00,2466.15,125,825.0,811.37,13.63
106,2026-05-06 04:00:00,2446.35,2026-05-06 04:30:00,2452.95,125,825.0,807.27,17.73
