timestamp,equity,cash,inventory_qty,inventory_value,realized_pnl,unrealized_pnl
2026-04-28 07:30:00,955777.51,124012.51,165,831765.0,2660.17,-45280.95
2026-04-28 07:45:00,958417.51,124012.51,165,834405.0,2660.17,-42640.95
2026-04-28 08:00:00,958170.01,124012.51,165,834157.5,2660.17,-42888.45
2026-04-28 08:15:00,958582.51,124012.51,165,834570.0,2660.17,-42475.95
2026-04-28 08:30:00,958005.01,124012.51,165,833992.5,2660.17,-43053.45
2026-04-28 08:45:00,956932.51,124012.51,165,832920.0,2660.17,-44125.95
2026-04-28 09:00:00,958912.51,124012.51,165,834900.0,2660.17,-42145.95
2026-04-28 09:15:00,961800.01,124012.51,165,837787.5,2660.17,-39258.45
2026-04-28 09:30:00,958500.01,124012.51,165,834487.5,2660.17,-42558.45
2026-04-28 09:45:00,962707.51,124012.51,165,838695.0,2660.17,-38350.95
2026-04-29 03:45:00,978712.51,124012.51,165,854700.0,2660.17,-22345.95
2026-04-29 04:00:00,978547.51,124012.51,165,854535.0,2660.17,-22510.95
2026-04-29 04:15:00,979455.01,124012.51,165,855442.5,2660.17,-21603.45
2026-04-29 04:30:00,977145.01,124012.51,165,853132.5,2660.17,-23913.45
2026-04-29 04:45:00,977887.51,124012.51,165,853875.0,2660.17,-23170.95
2026-04-29 05:00:00,973185.01,124012.51,165,849172.5,2660.17,-27873.45
2026-04-29 05:15:00,975577.51,124012.51,165,851565.0,2660.17,-25480.95
2026-04-29 05:30:00,975577.51,124012.51,165,851565.0,2660.17,-25480.95
2026-04-29 05:45:00,973185.01,124012.51,165,849172.5,2660.17,-27873.45
2026-04-29 06:00:00,974257.51,124012.51,165,850245.0,2660.17,-26800.95
2026-04-29 06:15:00,976155.01,124012.51,165,852142.5,2660.17,-24903.45
2026-04-29 06:30:00,978135.01,124012.51,165,854122.5,2660.17,-22923.45
2026-04-29 06:45:00,977722.51,124012.51,165,853710.0,2660.17,-23335.95
2026-04-29 07:00:00,978547.51,124012.51,165,854535.0,2660.17,-22510.95
2026-04-29 07:15:00,976402.51,124012.51,165,852390.0,2660.17,-24655.95
2026-04-29 07:30:00,974092.51,124012.51,165,850080.0,2660.17,-26965.95
2026-04-29 07:45:00,973102.51,124012.51,165,849090.0,2660.17,-27955.95
2026-04-29 08:00:00,972112.51,124012.51,165,848100.0,2660.17,-28945.95
2026-04-29 08:15:00,972195.01,124012.51,165,848182.5,2660.17,-28863.45
2026-04-29 08:30:00,967740.01,124012.51,165,843727.5,2660.17,-33318.45
2026-04-29 08:45:00,964275.01,124012.51,165,840262.5,2660.17,-36783.45
2026-04-29 09:00:00,966997.51,124012.51,165,842985.0,2660.17,-34060.95
2026-04-29 09:15:00,965842.51,124012.51,165,841830.0,2660.17,-35215.95
2026-04-29 09:30:00,967245.01,124012.51,165,843232.5,2660.17,-33813.45
2026-04-29 09:45:00,967327.51,124012.51,165,843315.0,2660.17,-33730.95
2026-04-30 03:45:00,953055.01,124012.51,165,829042.5,2660.17,-48003.45
2026-04-30 04:00:00,955447.51,124012.51,165,831435.0,2660.17,-45610.95
2026-04-30 04:15:00,955200.01,124012.51,165,831187.5,2660.17,-45858.45
2026-04-30 04:30:00,954787.51,124012.51,165,830775.0,2660.17,-46270.95
2026-04-30 04:45:00,956437.51,124012.51,165,832425.0,2660.17,-44620.95
2026-04-30 05:00:00,961635.01,124012.51,165,837622.5,2660.17,-39423.45
2026-04-30 05:15:00,958335.01,124012.51,165,834322.5,2660.17,-42723.45
2026-04-30 05:30:00,954292.51,124012.51,165,830280.0,2660.17,-46765.95
2026-04-30 05:45:00,956685.01,124012.51,165,832672.5,2660.17,-44373.45
2026-04-30 06:00:00,955777.51,124012.51,165,831765.0,2660.17,-45280.95
2026-04-30 06:15:00,953632.51,124012.51,165,829620.0,2660.17,-47425.95
2026-04-30 06:30:00,953880.01,124012.51,165,829867.5,2660.17,-47178.45
2026-04-30 06:45:00,956190.01,124012.51,165,832177.5,2660.17,-44868.45
2026-04-30 07:00:00,956437.51,124012.51,165,832425.0,2660.17,-44620.95
2026-04-30 07:15:00,957922.51,124012.51,165,833910.0,2660.17,-43135.95
2026-04-30 07:30:00,956272.51,124012.51,165,832260.0,2660.17,-44785.95
2026-04-30 07:45:00,956190.01,124012.51,165,832177.5,2660.17,-44868.45
2026-04-30 08:00:00,958170.01,124012.51,165,834157.5,2660.17,-42888.45
2026-04-30 08:15:00,961635.01,124012.51,165,837622.5,2660.17,-39423.45
2026-04-30 08:30:00,961140.01,124012.51,165,837127.5,2660.17,-39918.45
2026-04-30 08:45:00,960315.01,124012.51,165,836302.5,2660.17,-40743.45
2026-04-30 09:00:00,963615.01,124012.51,165,839602.5,2660.17,-37443.45
2026-04-30 09:15:00,967492.51,124012.51,165,843480.0,2660.17,-33565.95
2026-04-30 09:30:00,966420.01,124012.51,165,842407.5,2660.17,-34638.45
2026-04-30 09:45:00,967162.51,124012.51,165,843150.0,2660.17,-33895.95
2026-05-04 03:45:00,981600.01,124012.51,165,857587.5,2660.17,-19458.45
2026-05-04 04:00:00,984157.51,124012.51,165,860145.0,2660.17,-16900.95
2026-05-04 04:15:00,983250.01,124012.51,165,859237.5,2660.17,-17808.45
2026-05-04 04:30:00,973515.01,124012.51,165,849502.5,2660.17,-27543.45
2026-05-04 04:45:00,971205.01,124012.51,165,847192.5,2660.17,-29853.45
2026-05-04 05:00:00,968152.51,124012.51,165,844140.0,2660.17,-32905.95
2026-05-04 05:15:00,968400.01,124012.51,165,844387.5,2660.17,-32658.45
2026-05-04 05:30:00,969060.01,124012.51,165,845047.5,2660.17,-31998.45
2026-05-04 05:45:00,967740.01,124012.51,165,843727.5,2660.17,-33318.45
2026-05-04 06:00:00,967080.01,124012.51,165,843067.5,2660.17,-33978.45
2026-05-04 06:15:00,966502.51,124012.51,165,842490.0,2660.17,-34555.95
2026-05-04 06:30:00,963285.01,124012.51,165,839272.5,2660.17,-37773.45
2026-05-04 06:45:00,961222.51,124012.51,165,837210.0,2660.17,-39835.95
2026-05-04 07:00:00,961222.51,124012.51,165,837210.0,2660.17,-39835.95
2026-05-04 07:15:00,956767.51,124012.51,165,832755.0,2660.17,-44290.95
2026-05-04 07:30:00,952972.51,124012.51,165,828960.0,2660.17,-48085.95
2026-05-04 07:45:00,952642.51,124012.51,165,828630.0,2660.17,-48415.95
2026-05-04 08:00:00,956190.01,124012.51,165,832177.5,2660.17,-44868.45
2026-05-04 08:15:00,957180.01,124012.51,165,833167.5,2660.17,-43878.45
2026-05-04 08:30:00,961140.01,124012.51,165,837127.5,2660.17,-39918.45
2026-05-04 08:45:00,960645.01,124012.51,165,836632.5,2660.17,-40413.45
2026-05-04 09:00:00,957097.51,124012.51,165,833085.0,2660.17,-43960.95
2026-05-04 09:15:00,959737.51,124012.51,165,835725.0,2660.17,-41320.95
2026-05-04 09:30:00,959572.51,124012.51,165,835560.0,2660.17,-41485.95
2026-05-04 09:45:00,962212.51,124012.51,165,838200.0,2660.17,-38845.95
2026-05-05 03:45:00,959160.01,124012.51,165,835147.5,2660.17,-41898.45
2026-05-05 04:00:00,957345.01,124012.51,165,833332.5,2660.17,-43713.45
2026-05-05 04:15:00,957757.51,124012.51,165,833745.0,2660.17,-43300.95
2026-05-05 04:30:00,954292.51,124012.51,165,830280.0,2660.17,-46765.95
2026-05-05 04:45:00,953055.01,124012.51,165,829042.5,2660.17,-48003.45
2026-05-05 05:00:00,954457.51,124012.51,165,830445.0,2660.17,-46600.95
2026-05-05 05:15:00,953550.01,124012.51,165,829537.5,2660.17,-47508.45
2026-05-05 05:30:00,957097.51,124012.51,165,833085.0,2660.17,-43960.95
2026-05-05 05:45:00,956932.51,124012.51,165,832920.0,2660.17,-44125.95
2026-05-05 06:00:00,956685.01,124012.51,165,832672.5,2660.17,-44373.45
2026-05-05 06:15:00,957510.01,124012.51,165,833497.5,2660.17,-43548.45
2026-05-05 06:30:00,957922.51,124012.51,165,833910.0,2660.17,-43135.95
2026-05-05 06:45:00,957757.51,124012.51,165,833745.0,2660.17,-43300.95
2026-05-05 07:00:00,962460.01,124012.51,165,838447.5,2660.17,-38598.45
2026-05-05 07:15:00,961635.01,124012.51,165,837622.5,2660.17,-39423.45
2026-05-05 07:30:00,965017.51,124012.51,165,841005.0,2660.17,-36040.95
2026-05-05 07:45:00,964357.51,124012.51,165,840345.0,2660.17,-36700.95
2026-05-05 08:00:00,963615.01,124012.51,165,839602.5,2660.17,-37443.45
2026-05-05 08:15:00,962707.51,124012.51,165,838695.0,2660.17,-38350.95
2026-05-05 08:30:00,961470.01,124012.51,165,837457.5,2660.17,-39588.45
2026-05-05 08:45:00,962542.51,124012.51,165,838530.0,2660.17,-38515.95
2026-05-05 09:00:00,964770.01,124012.51,165,840757.5,2660.17,-36288.45
2026-05-05 09:15:00,967162.51,124012.51,165,843150.0,2660.17,-33895.95
2026-05-05 09:30:00,966585.01,124012.51,165,842572.5,2660.17,-34473.45
2026-05-05 09:45:00,969967.51,124012.51,165,845955.0,2660.17,-31090.95
2026-05-06 03:45:00,986055.01,124012.51,165,862042.5,2660.17,-15003.45
2026-05-06 04:00:00,991007.67,297017.67,132,693990.0,2693.64,-10399.95
2026-05-06 04:15:00,991352.77,123535.27,165,867817.5,2693.64,-9738.3
2026-05-06 04:30:00,990724.97,123567.47,165,867157.5,2725.84,-10398.3
2026-05-06 04:45:00,984372.47,123567.47,165,860805.0,2725.84,-16750.8
2026-05-06 05:00:00,991336.07,297082.07,132,694254.0,2758.05,-10135.95
2026-05-06 05:15:00,963323.94,130238.94,165,833085.0,2758.05,-37842.75
2026-05-06 05:30:00,952763.94,130238.94,165,822525.0,2758.05,-48402.75
2026-05-06 05:45:00,960518.94,130238.94,165,830280.0,2758.05,-40647.75
2026-05-06 06:00:00,965050.74,297130.74,132,667920.0,2806.71,-36469.95
2026-05-06 06:15:00,965710.74,297130.74,132,668580.0,2806.71,-35809.95
2026-05-06 06:30:00,967738.13,297178.13,132,670560.0,2854.11,-33829.95
2026-05-06 06:45:00,969328.57,129313.57,165,840015.0,2854.11,-31932.45
2026-05-06 07:00:00,966853.57,129313.57,165,837540.0,2854.11,-34407.45
2026-05-06 07:15:00,966358.57,129313.57,165,837045.0,2854.11,-34902.45
2026-05-06 07:30:00,969038.26,297224.26,132,671814.0,2900.24,-32575.95
2026-05-06 07:45:00,971008.99,128848.99,165,842160.0,2900.24,-30297.3
2026-05-06 08:00:00,967506.36,128893.86,165,838612.5,2945.1,-33844.8
2026-05-06 08:15:00,967836.36,128893.86,165,838942.5,2945.1,-33514.8
2026-05-06 08:30:00,969073.86,128893.86,165,840180.0,2945.1,-32277.3
2026-05-06 08:45:00,973549.99,297313.99,132,676236.0,2989.97,-28153.95
2026-05-06 09:00:00,976892.32,297356.32,132,679536.0,3032.3,-24853.95
2026-05-06 09:15:00,979507.39,297397.39,132,682110.0,3073.36,-22279.95
2026-05-06 09:30:00,980167.39,297397.39,132,682770.0,3073.36,-21619.95
2026-05-06 09:45:00,981195.92,297435.92,132,683760.0,3111.9,-20629.95
2026-05-07 03:45:00,998006.86,472514.86,99,525492.0,3176.3,-4202.55
2026-05-07 04:00:00,1000578.81,647610.81,66,352968.0,3257.72,-2031.15
2026-05-07 04:15:00,995792.54,471092.54,99,524700.0,3286.12,-6524.1
2026-05-07 04:30:00,997799.68,471119.68,99,526680.0,3313.26,-4544.1
2026-05-07 04:45:00,998306.11,470636.11,99,527670.0,3340.4,-4063.95
2026-05-07 05:00:00,1000014.98,470661.98,99,529353.0,3366.27,-2380.95
